2021-06-07 21:01:32,744 : Flow Logger HTML_B : Starting HTML Conversion To Json | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:32,762 : Style Dictionary_N : Reading style dictionary in file: rule_dictionary_el.json | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:32,873 : Style Dictionary_N : Qrd Section Keys Retrieved For Style Dictionary: ΠΑΡΑΡΤΗΜΑ Ι, ΠΑΡΑΡΤΗΜΑ ΙΙ, ΠΑΡΑΡΤΗΜΑ ΙΙΙ, B. ΦΥΛΛΟ ΟΔΗΓΙΩΝ ΧΡΗΣΗΣ | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:37,287 : Parser_T : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\ELOCTA\el\2021-06-07T06-03-45Z\outputJSON\Elocta_clean.txt | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:44,589 : Parser_T : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\ELOCTA\el\2021-06-07T06-03-45Z\outputJSON\Elocta_clean.json | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:45,291 : Flow Logger HTML_B : Completed HTML Conversion To Json | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:45,293 : Flow Logger HTML_B : HTML Conversion To Json,0.2092 Min,7.334737 MB,23.691634 MB,51.1%
 | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:45,311 : Flow Logger HTML_B : Starting Json Split | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:45,321 : Style Dictionary_L : Reading style dictionary in file: rule_dictionary_el.json | H | CAP |  el | Json | Elocta_clean.json
2021-06-07 21:01:45,423 : Style Dictionary_L : Qrd Section Keys Retrieved For Style Dictionary: ΠΑΡΑΡΤΗΜΑ Ι, ΠΑΡΑΡΤΗΜΑ ΙΙ, ΠΑΡΑΡΤΗΜΑ ΙΙΙ, B. ΦΥΛΛΟ ΟΔΗΓΙΩΝ ΧΡΗΣΗΣ | H | CAP |  el | Json | Elocta_clean.json
2021-06-07 21:01:45,450 : Partition_B : Partitioning Json: Elocta_clean.json | H | CAP |  el | Json | Elocta_clean.json
2021-06-07 21:01:46,403 : Partition_B : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\ELOCTA\el\2021-06-07T06-03-45Z\partitionedJSONs\Elocta_clean_SmPC.json | H | CAP |  el | Json | Elocta_clean.json
2021-06-07 21:01:46,748 : Partition_B : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\ELOCTA\el\2021-06-07T06-03-45Z\partitionedJSONs\Elocta_clean_ΠΑΡΑΡΤΗΜΑ ΙΙ.json | H | CAP |  el | Json | Elocta_clean.json
2021-06-07 21:01:46,822 : Flow Logger HTML_B : ['Elocta_clean_SmPC.json', 'Elocta_clean_ΠΑΡΑΡΤΗΜΑ ΙΙ.json'] | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:46,824 : Flow Logger HTML_B : Completed Json Split | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:46,827 : Flow Logger HTML_B : Split Json,0.0253 Min,0.114426 MB,31.660928 MB,51.1%
 | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:46,834 : Flow Logger HTML_B : Started Processing Partitioned Jsons | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:46,838 : Flow Logger HTML_B : 



||||||||||||||||||||||||||||||||0 ||||| Elocta_clean_SmPC.json||||||||||||||||||||||||||||||||



 | H | CAP |  el | HTML | Elocta_clean.htm
2021-06-07 21:01:46,845 : Heading Extraction Elocta_clean_SmPC.json_e : Starting Heading Extraction | H | CAP |  el | 0 | Elocta_clean_SmPC.json
2021-06-07 21:01:47,780 : Heading Extraction Elocta_clean_SmPC.json_e : Started Extracting Heading | H | CAP |  el | 0 | Elocta_clean_SmPC.json
2021-06-07 21:01:48,512 : Heading Extraction Elocta_clean_SmPC.json_e : Match Passed | H | CAP |  el | 0 | Elocta_clean_SmPC.json | Doc txt :- 'ΠΕΡΙΛΗΨΗ ΤΩΝ ΧΑΡΑΚΤΗΡΙΣΤΙΚΩΝ ΤΟΥ ΠΡΟΪΟΝΤΟΣ' | Qrd txt :- 'ΠΕΡΙΛΗΨΗ ΤΩΝ ΧΑΡΑΚΤΗΡΙΣΤΙΚΩΝ ΤΟΥ ΠΡΟΪΟΝΤΟΣ' | Matched :- 'True'
2021-06-07 21:01:48,520 : Heading Extraction Elocta_clean_SmPC.json_e : Validation Passed As This The First Heading | H | CAP |  el | 0 | Elocta_clean_SmPC.json | currHeadId :- '16001' | prevHeadingCurrId :- '' | prevHeadingFoundId :- ''
2021-06-07 21:01:48,679 : Heading Extraction Elocta_clean_SmPC.json_e : Match Passed | H | CAP |  el | 0 | Elocta_clean_SmPC.json | Doc txt :- '1. ΟΝΟΜΑΣΙΑ ΤΟΥ ΦΑΡΜΑΚΕΥΤΙΚΟΥ ΠΡΟΪΟΝΤΟΣ' | Qrd txt :- '1. ΟΝΟΜΑΣΙΑ ΤΟΥ ΦΑΡΜΑΚΕΥΤΙΚΟΥ ΠΡΟΪΟΝΤΟΣ' | Matched :- 'True'
