2021-09-19 10:07:07,920 : Flow Logger HTML_R : Starting HTML Conversion To Json | H | CAP |  en | HTML | Elocta_clean.htm
2021-09-19 10:07:07,926 : Style Dictionary_P : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | HTML | Elocta_clean.htm
2021-09-19 10:07:07,963 : Style Dictionary_P : Qrd Section Keys Retrieved For Style Dictionary: SUMMARY OF PRODUCT CHARACTERISTICS, ANNEX II, A. LABELLING , B. PACKAGE LEAFLET | H | CAP |  en | HTML | Elocta_clean.htm
2021-09-19 10:07:08,825 : Parser_7 : Style Information Stored In File: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Elocta/en/2021-06-09T12-44-02Z/outputJSON/Elocta_clean.txt | H | CAP |  en | HTML | Elocta_clean.htm
2021-09-19 10:07:14,256 : Parser_7 : Writing to file: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Elocta/en/2021-06-09T12-44-02Z/outputJSON/Elocta_clean.json | H | CAP |  en | HTML | Elocta_clean.htm
2021-09-19 10:07:14,553 : Flow Logger HTML_R : Completed HTML Conversion To Json | H | CAP |  en | HTML | Elocta_clean.htm
2021-09-19 10:07:14,554 : Flow Logger HTML_R : HTML Conversion To Json,0.1106 Min,7.375186 MB,16.903578 MB,76.7%
 | H | CAP |  en | HTML | Elocta_clean.htm
2021-09-19 10:07:14,570 : Flow Logger HTML_R : Starting Json Split | H | CAP |  en | HTML | Elocta_clean.htm
2021-09-19 10:07:14,575 : Style Dictionary_z : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | Json | Elocta_clean.json
2021-09-19 10:07:14,612 : Style Dictionary_z : Qrd Section Keys Retrieved For Style Dictionary: SUMMARY OF PRODUCT CHARACTERISTICS, ANNEX II, A. LABELLING , B. PACKAGE LEAFLET | H | CAP |  en | Json | Elocta_clean.json
2021-09-19 10:07:14,620 : Partition_P : Partitioning Json: Elocta_clean.json | H | CAP |  en | Json | Elocta_clean.json
2021-09-19 10:07:14,872 : Partition_P : Writing partition to file: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Elocta/en/2021-06-09T12-44-02Z/partitionedJSONs/Elocta_clean_SmPC.json | H | CAP |  en | Json | Elocta_clean.json
2021-09-19 10:07:15,037 : Partition_P : Writing partition to file: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Elocta/en/2021-06-09T12-44-02Z/partitionedJSONs/Elocta_clean_ANNEX II.json | H | CAP |  en | Json | Elocta_clean.json
