2021-06-01 16:05:54,721 : Flow Logger HTML_3 : Starting HTML Conversion To Json | H | CAP |  en | HTML | Karvea_clean.htm
2021-06-01 16:05:54,729 : Style Dictionary_X : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | HTML | Karvea_clean.htm
2021-06-01 16:05:54,777 : Style Dictionary_X : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | HTML | Karvea_clean.htm
2021-06-01 16:05:56,271 : Parser_U : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\en\2021-05-17T11-36-04Z\outputJSON\Karvea_clean.txt | H | CAP |  en | HTML | Karvea_clean.htm
2021-06-01 16:06:03,493 : Parser_U : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\en\2021-05-17T11-36-04Z\outputJSON\Karvea_clean.json | H | CAP |  en | HTML | Karvea_clean.htm
2021-06-01 16:06:04,175 : Flow Logger HTML_3 : Completed HTML Conversion To Json | H | CAP |  en | HTML | Karvea_clean.htm
2021-06-01 16:06:04,175 : Flow Logger HTML_3 : HTML Conversion To Json,0.1576 Min,12.76812 MB,21.37825 MB,38.6%
 | H | CAP |  en | HTML | Karvea_clean.htm
2021-06-01 16:06:04,195 : Flow Logger HTML_3 : Starting Json Split | H | CAP |  en | HTML | Karvea_clean.htm
2021-06-01 16:06:04,199 : Style Dictionary_a : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | Json | Karvea_clean.json
2021-06-01 16:06:04,237 : Style Dictionary_a : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | Json | Karvea_clean.json
2021-06-01 16:06:04,241 : Partition_V : Partitioning Json: Karvea_clean.json | H | CAP |  en | Json | Karvea_clean.json
2021-06-01 16:06:04,561 : Partition_V : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\en\2021-05-17T11-36-04Z\partitionedJSONs\Karvea_clean_SmPC.json | H | CAP |  en | Json | Karvea_clean.json
2021-06-01 16:06:04,693 : Partition_V : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\en\2021-05-17T11-36-04Z\partitionedJSONs\Karvea_clean_ANNEX II.json | H | CAP |  en | Json | Karvea_clean.json
2021-06-01 16:06:04,838 : Partition_V : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\en\2021-05-17T11-36-04Z\partitionedJSONs\Karvea_clean_ANNEX III.json | H | CAP |  en | Json | Karvea_clean.json
2021-06-01 16:06:04,850 : Partition_V : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\en\2021-05-17T11-36-04Z\partitionedJSONs\Karvea_clean_ PACKAGE LEAFLET.json | H | CAP |  en | Json | Karvea_clean.json
2021-06-01 16:06:04,874 : Flow Logger HTML_3 : ['Karvea_clean_SmPC.json', 'Karvea_clean_ANNEX II.json', 'Karvea_clean_ANNEX III.json', 'Karvea_clean_ PACKAGE LEAFLET.json'] | H | CAP |  en | HTML | Karvea_clean.htm
2021-06-01 16:06:04,874 : Flow Logger HTML_3 : Completed Json Split | H | CAP |  en | HTML | Karvea_clean.htm
