2021-05-20 00:52:06,550 : Flow Logger HTML_M : Starting HTML Conversion To Json | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:06,556 : Style Dictionary_9 : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:06,605 : Style Dictionary_9 : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:08,866 : Parser_A : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Abilify Maintena\en\2021-05-18T19-22-05Z copy\outputJSON\Abilify Maintena_clean.txt | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:16,399 : Parser_A : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Abilify Maintena\en\2021-05-18T19-22-05Z copy\outputJSON\Abilify Maintena_clean.json | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:16,887 : Flow Logger HTML_M : Completed HTML Conversion To Json | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:16,888 : Flow Logger HTML_M : HTML Conversion To Json,0.1723 Min,11.652623 MB,20.953432 MB,66.7%
 | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:16,910 : Flow Logger HTML_M : Starting Json Split | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:16,915 : Style Dictionary_d : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-05-20 00:52:16,971 : Style Dictionary_d : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-05-20 00:52:16,987 : Partition_j : Partitioning Json: Abilify Maintena_clean.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-05-20 00:52:17,257 : Partition_j : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Abilify Maintena\en\2021-05-18T19-22-05Z copy\partitionedJSONs\Abilify Maintena_clean_SmPC.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-05-20 00:52:17,386 : Partition_j : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Abilify Maintena\en\2021-05-18T19-22-05Z copy\partitionedJSONs\Abilify Maintena_clean_ANNEX II.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-05-20 00:52:17,559 : Partition_j : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Abilify Maintena\en\2021-05-18T19-22-05Z copy\partitionedJSONs\Abilify Maintena_clean_ANNEX III.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-05-20 00:52:17,586 : Partition_j : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Abilify Maintena\en\2021-05-18T19-22-05Z copy\partitionedJSONs\Abilify Maintena_clean_ PACKAGE LEAFLET.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-05-20 00:52:17,617 : Flow Logger HTML_M : ['Abilify Maintena_clean_SmPC.json', 'Abilify Maintena_clean_ANNEX II.json', 'Abilify Maintena_clean_ANNEX III.json', 'Abilify Maintena_clean_ PACKAGE LEAFLET.json'] | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:17,619 : Flow Logger HTML_M : Completed Json Split | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-05-20 00:52:17,621 : Flow Logger HTML_M : Split Json,0.0119 Min,0.3015 MB,16.901375 MB,66.6%
 | H | CAP |  en | HTML | Abilify Maintena_clean.htm
