2021-06-03 02:12:36,496 : Flow Logger HTML_n : Starting HTML Conversion To Json | H | CAP |  da | HTML | Karvea_clean.htm
2021-06-03 02:12:36,516 : Style Dictionary_D : Creating default style dictionary in file: rule_dictionary_da.json | H | CAP |  da | HTML | Karvea_clean.htm
2021-06-03 02:12:36,573 : Style Dictionary_D : Qrd Section Keys Retrieved For Style Dictionary: BILAG I, BILAG II, BILAG III, B. INDLÆGSSEDDEL | H | CAP |  da | HTML | Karvea_clean.htm
2021-06-03 02:12:40,173 : Parser_F : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\da\2021-05-25T07-18-55Z\outputJSON\Karvea_clean.txt | H | CAP |  da | HTML | Karvea_clean.htm
2021-06-03 02:12:59,300 : Parser_F : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\da\2021-05-25T07-18-55Z\outputJSON\Karvea_clean.json | H | CAP |  da | HTML | Karvea_clean.htm
2021-06-03 02:13:00,684 : Flow Logger HTML_n : Completed HTML Conversion To Json | H | CAP |  da | HTML | Karvea_clean.htm
2021-06-03 02:13:00,687 : Flow Logger HTML_n : HTML Conversion To Json,0.4032 Min,13.787484 MB,22.953274 MB,49.4%
 | H | CAP |  da | HTML | Karvea_clean.htm
2021-06-03 02:13:00,721 : Flow Logger HTML_n : Starting Json Split | H | CAP |  da | HTML | Karvea_clean.htm
2021-06-03 02:13:00,734 : Style Dictionary_o : Reading style dictionary in file: rule_dictionary_da.json | H | CAP |  da | Json | Karvea_clean.json
2021-06-03 02:13:00,815 : Style Dictionary_o : Qrd Section Keys Retrieved For Style Dictionary: BILAG I, BILAG II, BILAG III, B. INDLÆGSSEDDEL | H | CAP |  da | Json | Karvea_clean.json
2021-06-03 02:13:00,841 : Partition_C : Partitioning Json: Karvea_clean.json | H | CAP |  da | Json | Karvea_clean.json
2021-06-03 02:13:01,744 : Partition_C : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\da\2021-05-25T07-18-55Z\partitionedJSONs\Karvea_clean_SmPC.json | H | CAP |  da | Json | Karvea_clean.json
2021-06-03 02:13:02,188 : Partition_C : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\da\2021-05-25T07-18-55Z\partitionedJSONs\Karvea_clean_BILAG II.json | H | CAP |  da | Json | Karvea_clean.json
2021-06-03 02:13:02,646 : Partition_C : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\da\2021-05-25T07-18-55Z\partitionedJSONs\Karvea_clean_BILAG III.json | H | CAP |  da | Json | Karvea_clean.json
2021-06-03 02:13:02,668 : Partition_C : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Karvea\da\2021-05-25T07-18-55Z\partitionedJSONs\Karvea_clean_ INDLÆGSSEDDEL.json | H | CAP |  da | Json | Karvea_clean.json
