2021-05-25 16:58:51,589 : Flow Logger HTML_8 : Starting HTML Conversion To Json | H | CAP |  en | HTML | Zynteglo_clean.htm
2021-05-25 16:58:51,607 : Style Dictionary_x : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | HTML | Zynteglo_clean.htm
2021-05-25 16:58:51,725 : Style Dictionary_x : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | HTML | Zynteglo_clean.htm
2021-05-25 16:58:53,875 : Parser_S : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Zynteglo\en\2021-05-25T07-52-54Z\outputJSON\Zynteglo_clean.txt | H | CAP |  en | HTML | Zynteglo_clean.htm
2021-05-25 16:59:03,920 : Parser_S : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Zynteglo\en\2021-05-25T07-52-54Z\outputJSON\Zynteglo_clean.json | H | CAP |  en | HTML | Zynteglo_clean.htm
2021-05-25 16:59:07,486 : Flow Logger HTML_8 : Completed HTML Conversion To Json | H | CAP |  en | HTML | Zynteglo_clean.htm
2021-05-25 16:59:07,489 : Flow Logger HTML_8 : HTML Conversion To Json,0.265 Min,6.389239 MB,10.381298 MB,42.0%
 | H | CAP |  en | HTML | Zynteglo_clean.htm
2021-05-25 16:59:07,512 : Flow Logger HTML_8 : Starting Json Split | H | CAP |  en | HTML | Zynteglo_clean.htm
2021-05-25 16:59:07,586 : Style Dictionary_A : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | Json | Zynteglo_clean.json
2021-05-25 16:59:07,740 : Style Dictionary_A : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | Json | Zynteglo_clean.json
2021-05-25 16:59:07,769 : Partition_R : Partitioning Json: Zynteglo_clean.json | H | CAP |  en | Json | Zynteglo_clean.json
2021-05-25 16:59:08,095 : Partition_R : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Zynteglo\en\2021-05-25T07-52-54Z\partitionedJSONs\Zynteglo_clean_SmPC.json | H | CAP |  en | Json | Zynteglo_clean.json
2021-05-25 16:59:08,217 : Partition_R : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Zynteglo\en\2021-05-25T07-52-54Z\partitionedJSONs\Zynteglo_clean_ANNEX II.json | H | CAP |  en | Json | Zynteglo_clean.json
2021-05-25 16:59:08,350 : Partition_R : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Zynteglo\en\2021-05-25T07-52-54Z\partitionedJSONs\Zynteglo_clean_ANNEX III.json | H | CAP |  en | Json | Zynteglo_clean.json
2021-05-25 16:59:08,367 : Partition_R : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Zynteglo\en\2021-05-25T07-52-54Z\partitionedJSONs\Zynteglo_clean_ PACKAGE LEAFLET.json | H | CAP |  en | Json | Zynteglo_clean.json
