2021-06-03 02:23:23,478 : Flow Logger HTML_K : Starting HTML Conversion To Json | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:23:23,538 : Style Dictionary_Y : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:23:23,868 : Style Dictionary_Y : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:23:34,050 : Parser_L : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Elocta\en\2021-05-17T10-51-07Z\outputJSON\Elocta_clean.txt | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:03,767 : Parser_L : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Elocta\en\2021-05-17T10-51-07Z\outputJSON\Elocta_clean.json | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:41,452 : Flow Logger HTML_K : Completed HTML Conversion To Json | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:41,455 : Flow Logger HTML_K : HTML Conversion To Json,1.2996 Min,7.831883 MB,21.038788 MB,46.8%
 | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:41,480 : Flow Logger HTML_K : Starting Json Split | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:41,516 : Style Dictionary_4 : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | Json | Elocta_clean.json
2021-06-03 02:24:41,662 : Style Dictionary_4 : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | Json | Elocta_clean.json
2021-06-03 02:24:41,683 : Partition_6 : Partitioning Json: Elocta_clean.json | H | CAP |  en | Json | Elocta_clean.json
2021-06-03 02:24:42,575 : Partition_6 : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Elocta\en\2021-05-17T10-51-07Z\partitionedJSONs\Elocta_clean_SmPC.json | H | CAP |  en | Json | Elocta_clean.json
2021-06-03 02:24:43,115 : Partition_6 : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Elocta\en\2021-05-17T10-51-07Z\partitionedJSONs\Elocta_clean_ANNEX II.json | H | CAP |  en | Json | Elocta_clean.json
2021-06-03 02:24:44,039 : Partition_6 : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Elocta\en\2021-05-17T10-51-07Z\partitionedJSONs\Elocta_clean_ANNEX III.json | H | CAP |  en | Json | Elocta_clean.json
2021-06-03 02:24:44,086 : Partition_6 : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\azureFunctions\work\H\CAP\Elocta\en\2021-05-17T10-51-07Z\partitionedJSONs\Elocta_clean_ PACKAGE LEAFLET.json | H | CAP |  en | Json | Elocta_clean.json
2021-06-03 02:24:44,120 : Flow Logger HTML_K : ['Elocta_clean_SmPC.json', 'Elocta_clean_ANNEX II.json', 'Elocta_clean_ANNEX III.json', 'Elocta_clean_ PACKAGE LEAFLET.json'] | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:44,123 : Flow Logger HTML_K : Completed Json Split | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:44,127 : Flow Logger HTML_K : Split Json,0.0441 Min,0.303627 MB,28.957861 MB,46.8%
 | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:44,134 : Flow Logger HTML_K : Started Processing Partitioned Jsons | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:44,137 : Flow Logger HTML_K : 



||||||||||||||||||||||||||||||||0 ||||| Elocta_clean_SmPC.json||||||||||||||||||||||||||||||||



 | H | CAP |  en | HTML | Elocta_clean.htm
2021-06-03 02:24:44,189 : Heading Extraction Elocta_clean_SmPC.json_B : Starting Heading Extraction | H | CAP |  en | 0 | Elocta_clean_SmPC.json
