2021-09-19 10:10:10,556 : Flow Logger HTML_1 : Starting HTML Conversion To Json | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:10,564 : Style Dictionary_5 : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:10,633 : Style Dictionary_5 : Qrd Section Keys Retrieved For Style Dictionary: SUMMARY OF PRODUCT CHARACTERISTICS, ANNEX II, A. LABELLING , B. PACKAGE LEAFLET | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:12,569 : Parser_6 : Style Information Stored In File: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Abilify Maintena/en/2021-05-25T10-49-42Z/outputJSON/Abilify Maintena_clean.txt | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:24,128 : Parser_6 : Writing to file: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Abilify Maintena/en/2021-05-25T10-49-42Z/outputJSON/Abilify Maintena_clean.json | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:24,621 : Flow Logger HTML_1 : Completed HTML Conversion To Json | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:24,622 : Flow Logger HTML_1 : HTML Conversion To Json,0.2344 Min,13.366422 MB,24.173037 MB,74.7%
 | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:24,659 : Flow Logger HTML_1 : Starting Json Split | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:24,664 : Style Dictionary_Q : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-09-19 10:10:24,700 : Style Dictionary_Q : Qrd Section Keys Retrieved For Style Dictionary: SUMMARY OF PRODUCT CHARACTERISTICS, ANNEX II, A. LABELLING , B. PACKAGE LEAFLET | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-09-19 10:10:24,704 : Partition_8 : Partitioning Json: Abilify Maintena_clean.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-09-19 10:10:25,123 : Partition_8 : Writing partition to file: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Abilify Maintena/en/2021-05-25T10-49-42Z/partitionedJSONs/Abilify Maintena_clean_SmPC.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-09-19 10:10:25,377 : Partition_8 : Writing partition to file: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Abilify Maintena/en/2021-05-25T10-49-42Z/partitionedJSONs/Abilify Maintena_clean_ANNEX II.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-09-19 10:10:25,703 : Partition_8 : Writing partition to file: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Abilify Maintena/en/2021-05-25T10-49-42Z/partitionedJSONs/Abilify Maintena_clean_ LABELLING .json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-09-19 10:10:25,723 : Partition_8 : Writing partition to file: /Users/achilleas.voutsas/Development/data-science/EMA%20EPI%20PoC/conversion/work/H/CAP/Abilify Maintena/en/2021-05-25T10-49-42Z/partitionedJSONs/Abilify Maintena_clean_ PACKAGE LEAFLET.json | H | CAP |  en | Json | Abilify Maintena_clean.json
2021-09-19 10:10:25,749 : Flow Logger HTML_1 : ['Abilify Maintena_clean_SmPC.json', 'Abilify Maintena_clean_ANNEX II.json', 'Abilify Maintena_clean_ LABELLING .json', 'Abilify Maintena_clean_ PACKAGE LEAFLET.json'] | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:25,752 : Flow Logger HTML_1 : Completed Json Split | H | CAP |  en | HTML | Abilify Maintena_clean.htm
2021-09-19 10:10:25,756 : Flow Logger HTML_1 : Split Json,0.0183 Min,0.258035 MB,20.710964 MB,74.8%
