2021-06-08 01:51:35,454 : Flow Logger HTML_v : Starting HTML Conversion To Json | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:35,454 : Style Dictionary_3 : Reading style dictionary in file: rule_dictionary_es.json | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:35,486 : Style Dictionary_3 : Qrd Section Keys Retrieved For Style Dictionary: ANEXO I, ANEXO II, ANEXO III, B. PROSPECTO | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:36,173 : Parser_U : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\es\2021-06-07T11-37-57Z\outputJSON\Ovaleap_clean.txt | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:40,610 : Parser_U : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\es\2021-06-07T11-37-57Z\outputJSON\Ovaleap_clean.json | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:40,812 : Flow Logger HTML_v : Completed HTML Conversion To Json | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:40,812 : Flow Logger HTML_v : HTML Conversion To Json,0.0893 Min,4.36227 MB,7.11086 MB,53.0%
 | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:40,824 : Flow Logger HTML_v : Starting Json Split | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:40,828 : Style Dictionary_7 : Reading style dictionary in file: rule_dictionary_es.json | H | CAP |  es | Json | Ovaleap_clean.json
2021-06-08 01:51:40,865 : Style Dictionary_7 : Qrd Section Keys Retrieved For Style Dictionary: ANEXO I, ANEXO II, ANEXO III, B. PROSPECTO | H | CAP |  es | Json | Ovaleap_clean.json
2021-06-08 01:51:40,865 : Partition_a : Partitioning Json: Ovaleap_clean.json | H | CAP |  es | Json | Ovaleap_clean.json
2021-06-08 01:51:41,002 : Partition_a : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\es\2021-06-07T11-37-57Z\partitionedJSONs\Ovaleap_clean_SmPC.json | H | CAP |  es | Json | Ovaleap_clean.json
2021-06-08 01:51:41,058 : Partition_a : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\es\2021-06-07T11-37-57Z\partitionedJSONs\Ovaleap_clean_ANEXO II.json | H | CAP |  es | Json | Ovaleap_clean.json
2021-06-08 01:51:41,128 : Partition_a : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\es\2021-06-07T11-37-57Z\partitionedJSONs\Ovaleap_clean_ANEXO III.json | H | CAP |  es | Json | Ovaleap_clean.json
2021-06-08 01:51:41,136 : Partition_a : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\es\2021-06-07T11-37-57Z\partitionedJSONs\Ovaleap_clean_ PROSPECTO.json | H | CAP |  es | Json | Ovaleap_clean.json
2021-06-08 01:51:41,136 : Flow Logger HTML_v : ['Ovaleap_clean_SmPC.json', 'Ovaleap_clean_ANEXO II.json', 'Ovaleap_clean_ANEXO III.json', 'Ovaleap_clean_ PROSPECTO.json'] | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:41,144 : Flow Logger HTML_v : Completed Json Split | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:41,144 : Flow Logger HTML_v : Split Json,0.0053 Min,0.25833 MB,5.393189 MB,53.0%
 | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:41,144 : Flow Logger HTML_v : Started Processing Partitioned Jsons | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:41,144 : Flow Logger HTML_v : 



||||||||||||||||||||||||||||||||0 ||||| Ovaleap_clean_SmPC.json||||||||||||||||||||||||||||||||



 | H | CAP |  es | HTML | Ovaleap_clean.htm
2021-06-08 01:51:41,152 : Heading Extraction Ovaleap_clean_SmPC.json_K : Starting Heading Extraction | H | CAP |  es | 0 | Ovaleap_clean_SmPC.json
2021-06-08 01:51:41,421 : Heading Extraction Ovaleap_clean_SmPC.json_K : Started Extracting Heading | H | CAP |  es | 0 | Ovaleap_clean_SmPC.json
2021-06-08 01:51:41,625 : Heading Extraction Ovaleap_clean_SmPC.json_K : Match Passed | H | CAP |  es | 0 | Ovaleap_clean_SmPC.json | Doc txt :- 'FICHA TÉCNICA O RESUMEN DE LAS CARACTERÍSTICAS DEL PRODUCTO' | Qrd txt :- 'FICHA TÉCNICA O RESUMEN DE LAS CARACTERÍSTICAS DEL PRODUCTO' | Matched :- 'True'
2021-06-08 01:51:41,634 : Heading Extraction Ovaleap_clean_SmPC.json_K : Validation Passed As This The First Heading | H | CAP |  es | 0 | Ovaleap_clean_SmPC.json | currHeadId :- '24001' | prevHeadingCurrId :- '' | prevHeadingFoundId :- ''
