2021-05-20 16:46:12,894 : Flow Logger HTML_t : Starting HTML Conversion To Json | H | CAP |  en | HTML | Kalydeco_clean.htm
2021-05-20 16:46:12,904 : Style Dictionary_8 : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | HTML | Kalydeco_clean.htm
2021-05-20 16:46:12,996 : Style Dictionary_8 : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | HTML | Kalydeco_clean.htm
2021-05-20 16:46:14,694 : Parser_X : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Kalydeco\en\2021-05-19T09-22-20Z\outputJSON\Kalydeco_clean.txt | H | CAP |  en | HTML | Kalydeco_clean.htm
2021-05-20 16:46:20,409 : Parser_X : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Kalydeco\en\2021-05-19T09-22-20Z\outputJSON\Kalydeco_clean.json | H | CAP |  en | HTML | Kalydeco_clean.htm
2021-05-20 16:46:20,862 : Flow Logger HTML_t : Completed HTML Conversion To Json | H | CAP |  en | HTML | Kalydeco_clean.htm
2021-05-20 16:46:20,862 : Flow Logger HTML_t : HTML Conversion To Json,0.1328 Min,12.056966 MB,20.389168 MB,66.3%
 | H | CAP |  en | HTML | Kalydeco_clean.htm
2021-05-20 16:46:20,882 : Flow Logger HTML_t : Starting Json Split | H | CAP |  en | HTML | Kalydeco_clean.htm
2021-05-20 16:46:20,890 : Style Dictionary_a : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | Json | Kalydeco_clean.json
2021-05-20 16:46:20,930 : Style Dictionary_a : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | Json | Kalydeco_clean.json
2021-05-20 16:46:20,934 : Partition_3 : Partitioning Json: Kalydeco_clean.json | H | CAP |  en | Json | Kalydeco_clean.json
