2021-06-08 01:48:13,453 : Flow Logger HTML_3 : Starting HTML Conversion To Json | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:13,461 : Style Dictionary_w : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:13,501 : Style Dictionary_w : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:14,046 : Parser_E : Style Information Stored In File: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\en\2021-06-04T08-18-55Z\outputJSON\Ovaleap_clean.txt | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:16,640 : Parser_E : Writing to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\en\2021-06-04T08-18-55Z\outputJSON\Ovaleap_clean.json | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:16,830 : Flow Logger HTML_3 : Completed HTML Conversion To Json | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:16,834 : Flow Logger HTML_3 : HTML Conversion To Json,0.0564 Min,3.704715 MB,6.35765 MB,52.6%
 | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:16,838 : Flow Logger HTML_3 : Starting Json Split | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:16,842 : Style Dictionary_i : Reading style dictionary in file: rule_dictionary_en.json | H | CAP |  en | Json | Ovaleap_clean.json
2021-06-08 01:48:16,874 : Style Dictionary_i : Qrd Section Keys Retrieved For Style Dictionary: ANNEX I, ANNEX II, ANNEX III, B. PACKAGE LEAFLET | H | CAP |  en | Json | Ovaleap_clean.json
2021-06-08 01:48:16,882 : Partition_J : Partitioning Json: Ovaleap_clean.json | H | CAP |  en | Json | Ovaleap_clean.json
2021-06-08 01:48:17,003 : Partition_J : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\en\2021-06-04T08-18-55Z\partitionedJSONs\Ovaleap_clean_SmPC.json | H | CAP |  en | Json | Ovaleap_clean.json
2021-06-08 01:48:17,052 : Partition_J : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\en\2021-06-04T08-18-55Z\partitionedJSONs\Ovaleap_clean_ANNEX II.json | H | CAP |  en | Json | Ovaleap_clean.json
2021-06-08 01:48:17,108 : Partition_J : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\en\2021-06-04T08-18-55Z\partitionedJSONs\Ovaleap_clean_ANNEX III.json | H | CAP |  en | Json | Ovaleap_clean.json
2021-06-08 01:48:17,116 : Partition_J : Writing partition to file: F:\Projects\EMA\Repository\EMA EPI PoC\function_code\work\H\CAP\Ovaleap\en\2021-06-04T08-18-55Z\partitionedJSONs\Ovaleap_clean_ PACKAGE LEAFLET.json | H | CAP |  en | Json | Ovaleap_clean.json
2021-06-08 01:48:17,124 : Flow Logger HTML_3 : ['Ovaleap_clean_SmPC.json', 'Ovaleap_clean_ANNEX II.json', 'Ovaleap_clean_ANNEX III.json', 'Ovaleap_clean_ PACKAGE LEAFLET.json'] | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:17,124 : Flow Logger HTML_3 : Completed Json Split | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:17,124 : Flow Logger HTML_3 : Split Json,0.0048 Min,0.290529 MB,5.359814 MB,52.6%
 | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:17,132 : Flow Logger HTML_3 : Started Processing Partitioned Jsons | H | CAP |  en | HTML | Ovaleap_clean.htm
2021-06-08 01:48:17,132 : Flow Logger HTML_3 : 



||||||||||||||||||||||||||||||||0 ||||| Ovaleap_clean_SmPC.json||||||||||||||||||||||||||||||||



 | H | CAP |  en | HTML | Ovaleap_clean.htm
